Emin,Emax,flux
1e-05,1.0471e-05,0.0
1.0471e-05,1.0965e-05,0.0
1.0965e-05,1.1482e-05,0.0
1.1482e-05,1.2023e-05,0.0
1.2023e-05,1.2589e-05,0.0
1.2589e-05,1.3183e-05,0.0
1.3183e-05,1.3804e-05,0.0
1.3804e-05,1.4454e-05,0.0
1.4454e-05,1.5136e-05,0.0
1.5136e-05,1.5849e-05,0.0
1.5849e-05,1.6596e-05,0.0
1.6596e-05,1.7378e-05,0.0
1.7378e-05,1.8197e-05,0.0
1.8197e-05,1.9055e-05,0.0
1.9055e-05,1.9953e-05,0.0
1.9953e-05,2.0893e-05,0.0
2.0893e-05,2.1878e-05,0.0
2.1878e-05,2.2909e-05,0.0
2.2909e-05,2.3988e-05,0.0
2.3988e-05,2.5119e-05,0.0
2.5119e-05,2.6303e-05,0.0
2.6303e-05,2.7542e-05,0.0
2.7542e-05,2.884e-05,0.0
2.884e-05,3.02e-05,0.0
3.02e-05,3.1623e-05,0.0
3.1623e-05,3.3113e-05,0.0
3.3113e-05,3.4674e-05,0.0
3.4674e-05,3.6308e-05,0.0
3.6308e-05,3.8019e-05,0.0
3.8019e-05,3.9811e-05,0.0
3.9811e-05,4.1687e-05,0.0
4.1687e-05,4.3652e-05,0.0
4.3652e-05,4.5709e-05,0.0
4.5709e-05,4.7863e-05,0.0
4.7863e-05,5.0119e-05,0.0
5.0119e-05,5.2481e-05,0.0
5.2481e-05,5.4954e-05,0.0
5.4954e-05,5.7544e-05,0.0
5.7544e-05,6.0256e-05,0.0
6.0256e-05,6.3096e-05,0.0
6.3096e-05,6.6069e-05,0.0
6.6069e-05,6.9183e-05,0.0
6.9183e-05,7.2444e-05,0.0
7.2444e-05,7.5858e-05,0.0
7.5858e-05,7.9433e-05,0.0
7.9433e-05,8.3176e-05,0.0
8.3176e-05,8.7096e-05,0.0
8.7096e-05,9.1201e-05,0.0
9.1201e-05,9.5499e-05,0.0
9.5499e-05,0.0001,0.0
0.0001,0.00010471,0.0
0.00010471,0.00010965,0.0
0.00010965,0.00011482,0.0
0.00011482,0.00012023,0.0
0.00012023,0.00012589,0.0
0.00012589,0.00013183,0.0
0.00013183,0.00013804,0.0
0.00013804,0.00014454,0.0
0.00014454,0.00015136,0.0
0.00015136,0.00015849,0.0
0.00015849,0.00016596,0.0
0.00016596,0.00017378,0.0
0.00017378,0.00018197,0.0
0.00018197,0.00019055,0.0
0.00019055,0.00019953,0.0
0.00019953,0.00020893,0.0
0.00020893,0.00021878,0.0
0.00021878,0.00022909,0.0
0.00022909,0.00023988,0.0
0.00023988,0.00025119,0.0
0.00025119,0.00026303,0.0
0.00026303,0.00027542,0.0
0.00027542,0.0002884,0.0
0.0002884,0.000302,0.0
0.000302,0.00031623,0.0
0.00031623,0.00033113,0.0
0.00033113,0.00034674,0.0
0.00034674,0.00036308,0.0
0.00036308,0.00038019,0.0
0.00038019,0.00039811,0.0
0.00039811,0.00041687,0.0
0.00041687,0.00043652,0.0
0.00043652,0.00045709,0.0
0.00045709,0.00047863,0.0
0.00047863,0.00050119,0.0
0.00050119,0.00052481,0.0
0.00052481,0.00054954,0.0
0.00054954,0.00057544,0.0
0.00057544,0.00060256,0.0
0.00060256,0.00063096,0.0
0.00063096,0.00066069,0.0
0.00066069,0.00069183,0.0
0.00069183,0.00072444,0.0
0.00072444,0.00075858,0.0
0.00075858,0.00079433,0.0
0.00079433,0.00083176,0.0
0.00083176,0.00087096,0.0
0.00087096,0.00091201,0.0
0.00091201,0.00095499,0.0
0.00095499,0.001,0.0
0.001,0.0010471,0.0
0.0010471,0.0010965,0.0
0.0010965,0.0011482,0.0
0.0011482,0.0012023,0.0
0.0012023,0.0012589,0.0
0.0012589,0.0013183,0.0
0.0013183,0.0013804,0.0
0.0013804,0.0014454,0.0
0.0014454,0.0015136,0.0
0.0015136,0.0015849,0.0
0.0015849,0.0016596,0.0
0.0016596,0.0017378,0.0
0.0017378,0.0018197,0.0
0.0018197,0.0019055,0.0
0.0019055,0.0019953,0.0
0.0019953,0.0020893,0.0
0.0020893,0.0021878,0.0
0.0021878,0.0022909,0.0
0.0022909,0.0023988,0.0
0.0023988,0.0025119,0.0
0.0025119,0.0026303,0.0
0.0026303,0.0027542,0.0
0.0027542,0.002884,0.0
0.002884,0.00302,0.0
0.00302,0.0031623,0.0
0.0031623,0.0033113,0.0
0.0033113,0.0034674,0.0
0.0034674,0.0036308,0.0
0.0036308,0.0038019,0.0
0.0038019,0.0039811,0.0
0.0039811,0.0041687,0.0
0.0041687,0.0043652,939801.2773759085
0.0043652,0.0045709,0.0
0.0045709,0.0047863,0.0
0.0047863,0.0050119,0.0
0.0050119,0.0052481,0.0
0.0052481,0.0054954,0.0
0.0054954,0.0057544,0.0
0.0057544,0.0060256,0.0
0.0060256,0.0063096,0.0
0.0063096,0.0066069,0.0
0.0066069,0.0069183,0.0
0.0069183,0.0072444,0.0
0.0072444,0.0075858,0.0
0.0075858,0.0079433,0.0
0.0079433,0.0083176,0.0
0.0083176,0.0087096,0.0
0.0087096,0.0091201,4547930.698598938
0.0091201,0.0095499,0.0
0.0095499,0.01,0.0
0.01,0.010471,0.0
0.010471,0.010965,101114.64641591479
0.010965,0.011482,0.0
0.011482,0.012023,0.0
0.012023,0.012589,496807.05758506706
0.012589,0.013183,211547.20955206017
0.013183,0.013804,1154065.5779135474
0.013804,0.014454,3193030.44856414
0.014454,0.015136,0.0
0.015136,0.015849,1279141.239756783
0.015849,0.016596,2214650.56528882
0.016596,0.017378,0.0
0.017378,0.018197,10613301.8919863
0.018197,0.019055,2147248.2562143314
0.019055,0.019953,701628.0064877528
0.019953,0.020893,3678748.8287407393
0.020893,0.021878,1961135.7977319942
0.021878,0.022909,4675533.907795449
0.022909,0.023988,10297296.084010879
0.023988,0.025119,9676063.213113222
0.025119,0.026303,3132227.3898772066
0.026303,0.027542,4325220.509288042
0.027542,0.02884,3214311.493993578
0.02884,0.0302,5159821.375818838
0.0302,0.031623,26384388.597208623
0.031623,0.033113,18790848.649239857
0.033113,0.034674,11175140.542511381
0.034674,0.036308,17454425.50889196
0.036308,0.038019,27825897.063837405
0.038019,0.039811,31227707.880542196
0.039811,0.041687,32511368.185184937
0.041687,0.043652,23478594.174045436
0.043652,0.045709,40325465.881389715
0.045709,0.047863,45305230.002759375
0.047863,0.050119,58659036.94828097
0.050119,0.052481,32706499.875672538
0.052481,0.054954,60104983.267975785
0.054954,0.057544,73764813.75613055
0.057544,0.060256,62341622.16325001
0.060256,0.063096,76336020.79728812
0.063096,0.066069,93094726.21263625
0.066069,0.069183,77177118.20313697
0.069183,0.072444,133683979.495527
0.072444,0.075858,159465321.69998983
0.075858,0.079433,288116161.50555927
0.079433,0.083176,378789129.8661998
0.083176,0.087096,243756284.1003581
0.087096,0.091201,277957991.6341936
0.091201,0.095499,229368793.62887377
0.095499,0.1,385371435.0052931
0.1,0.10471,341223088.12708056
0.10471,0.10965,507135647.9704298
0.10965,0.11482,498592172.9426025
0.11482,0.12023,608325161.5537252
0.12023,0.12589,746294485.4162416
0.12589,0.13183,801875313.2001406
0.13183,0.13804,938826660.773895
0.13804,0.14454,2377078198.256639
0.14454,0.15136,1209554564.2106185
0.15136,0.15849,2629507945.7040906
0.15849,0.16596,1999281012.5088751
0.16596,0.17378,1440972275.3621178
0.17378,0.18197,2435315703.294544
0.18197,0.19055,2044650741.90209
0.19055,0.19953,3493250816.8282976
